Label Value,Code,Description
180401 Antarctic and Southern Ocean ice dynamics,180401,
180402 Antarctic and Southern Ocean oceanic processes,180402,
180403 Assessment and management of Antarctic and Southern Ocean ecosystems,180403,
180404 Biodiversity in Antarctic and Southern Ocean environments,180404,
"180405 Control of pests, diseases and exotic species in Antarctic and Southern Ocean environments",180405,
180406 Protection and conservation of Antarctic and Southern Ocean environments,180406,
180407 Water quality in Antarctic and Southern Ocean environments,180407,
180499 Management of Antarctic and Southern Ocean environments not elsewhere classified,180499,
1805 Marine systems and management,1805,"This group covers R&D directed towards the understanding and management of marine environments. It includes: ecosystems; biodiversity; control of pests, diseases and exotic species; water quality and; rehabilitation or conservation."
180501 Assessment and management of benthic marine ecosystems,180501,
180502 Assessment and management of pelagic marine ecosystems,180502,
"180503 Control of pests, diseases and exotic species in marine environments",180503,
180504 Marine biodiversity,180504,
180505 Measurement and assessment of marine water quality and condition,180505,
180506 Oceanic processes (excl. in the Antarctic and Southern Ocean),180506,
180507 Rehabilitation or conservation of marine environments,180507,
180599 Marine systems and management not elsewhere classified,180599,
1806 Terrestrial systems and management,1806,"This group covers R&D directed towards the understanding and management of terrestrial environments. It includes: ecosystems; biodiversity; control of pests, diseases and exotic species; land use; soils and; rehabilitation or conservation."
180601 Assessment and management of terrestrial ecosystems,180601,
"180602 Control of pests, diseases and exotic species in terrestrial environments",180602,
"180603 Evaluation, allocation, and impacts of land use",180603,
180604 Rehabilitation or conservation of terrestrial environments,180604,
180605 Soils,180605,
180606 Terrestrial biodiversity,180606,
180607 Terrestrial erosion,180607,
180699 Terrestrial systems and management not elsewhere classified,180699,
1899 Other environmental management,1899,This group covers R&D directed towards environmental management issues not elsewhere classified.
189999 Other environmental management not elsewhere classified,189999,
"19 Environmental policy, climate change and natural hazards",19,"This Division covers R&D directed towards the development of social and economic environmental policies and understanding the impacts of climate change. It also includes studies of natural hazards, their environmental impact and how to manage this impact."
1901 Adaptation to climate change,1901,This group covers R&D directed towards understanding impacts of climate change and the development of strategies to adapt to climate change.
190101 Climate change adaptation measures (excl. ecosystem),190101,
190102 Ecosystem adaptation to climate change,190102,
190103 Social impacts of climate change and variability,190103,
190199 Adaptation to climate change not elsewhere classified,190199,
"1902 Environmental policy, legislation and standards",1902,"This group covers R&D directed towards the development and improvement of social and economic environmental policies, legislation and standards."
"190201 Consumption patterns, population issues and the environment",190201,
190202 Eco-verification (excl. environmental lifecycle assessment),190202,
190203 Environmental education and awareness,190203,
190204 Environmental lifecycle assessment,190204,
190205 Environmental protection frameworks (incl. economic incentives),190205,
190206 Institutional arrangements,190206,
190207 Land policy,190207,
190208 Rights to environmental and natural resources (excl. water allocation),190208,
190209 Sustainability indicators,190209,
190210 Trade and environment,190210,
190211 Water policy (incl. water allocation),190211,
"190299 Environmental policy, legislation and standards not elsewhere classified",190299,
1903 Mitigation of climate change,1903,This group covers R&D directed towards the development of strategies to mitigate climate change.
190301 Climate change mitigation strategies,190301,
190302 Management of greenhouse gas emissions from animal production,190302,
190303 Management of greenhouse gas emissions from commercial services and tourism,190303,
190304 Management of greenhouse gas emissions from construction activities,190304,
190305 Management of greenhouse gas emissions from electricity generation,190305,
190306 Management of greenhouse gas emissions from energy activities,190306,
190307 Management of greenhouse gas emissions from information and communication services,190307,
190308 Management of greenhouse gas emissions from manufacturing activities,190308,
190309 Management of greenhouse gas emissions from mineral resources activities,190309,
190310 Management of greenhouse gas emissions from plant production,190310,
190311 Management of greenhouse gas emissions from transport activities,190311,
190399 Mitigation of climate change not elsewhere classified,190399,
1904 Natural hazards,1904,"This group covers R&D directed towards an understanding of natural hazards, their impact on lives, property and environments and the development of warning systems and control measures to minimise impacts from these hazards."
"190401 Climatological hazards (e.g. extreme temperatures, drought and wildfires)",190401,
190402 Extraterrestrial hazards (e.g. meteorites),190402,
"190403 Geological hazards (e.g. earthquakes, landslides and volcanic activity)",190403,
190404 Hydrological hazards (e.g. avalanches and floods),190404,
190405 Meteorological hazards (e.g. cyclones and storms),190405,
190499 Natural hazards not elsewhere classified,190499,
1905 Understanding climate change,1905,This group covers R&D directed towards understanding climate change and its effects in various locations.
190501 Climate change models,190501,
190502 Climate variability (excl. social impacts),190502,
190503 Effects of climate change on Antarctic and sub-Antarctic environments (excl. social impacts),190503,
190504 Effects of climate change on Australia (excl. social impacts),190504,
190505 Effects of climate change on New Zealand (excl. social impacts),190505,
190506 Effects of climate change on the South Pacific (excl. Australia and New Zealand) (excl. social impacts),190506,
"190507 Global effects of climate change (excl. Australia, New Zealand, Antarctica and the South Pacific) (excl. social impacts)",190507,
190508 Understanding the impact of natural hazards caused by climate change,190508,
190599 Understanding climate change not elsewhere classified,190599,
"1999 Other environmental policy, climate change and natural hazards",1999,"This group covers R&D directed towards environmental policy, climate change and natural hazards not elsewhere classified."
"199999 Other environmental policy, climate change and natural hazards not elsewhere classified",199999,
20 Health,20,"This division covers R&D directed towards human health, including the understanding and treatment of clinical diseases and conditions and the provision of public health and associated support services."
2001 Clinical health,2001,This group covers R&D directed towards the clinical aspects of health and medicine.
200101 Diagnosis of human diseases and conditions,200101,
200102 Efficacy of medications,200102,
200103 Human pain management,200103,
200104 Prevention of human diseases and conditions,200104,
200105 Treatment of human diseases and conditions,200105,
200199 Clinical health not elsewhere classified,200199,
2002 Evaluation of health and support services,2002,This group covers R&D directed towards health not elsewhere classified.
200201 Determinants of health,200201,
200202 Evaluation of health outcomes,200202,
200203 Health education and promotion,200203,
200204 Health inequalities,200204,
200205 Health policy evaluation,200205,
200206 Health system performance (incl. effectiveness of programs),200206,
200207 Social structure and health,200207,
200208 Telehealth,200208,
200299 Evaluation of health and support services not elsewhere classified,200299,
2003 Provision of health and support services,2003,This group covers R&D directed towards the provision and evaluation of health and support services.
200301 Allied health therapies (excl. mental health services),200301,
200302 Community health care,200302,
200303 Health surveillance,200303,
200304 Inpatient hospital care,200304,
200305 Mental health services,200305,
200306 Midwifery,200306,
200307 Nursing,200307,
200308 Outpatient care,200308,
200309 Palliative care,200309,
200310 Primary care,200310,
"200311 Urgent and critical care, and emergency medicine",200311,
200399 Provision of health and support services not elsewhere classified,200399,
2004 Public health (excl. specific population health),2004,This group covers R&D directed towards community health or the health of general public excluding specific population groups and Indigenous communities. The primary focus of R&D in this group is on the social and community aspects of health and medicine.
200401 Behaviour and health,200401,
200402 Dental health,200402,
200403 Disability and functional capacity,200403,
200404 Disease distribution and transmission (incl. surveillance and response),200404,
200405 Food safety,200405,
200406 Health protection and disaster response,200406,
200407 Health status (incl. wellbeing),200407,
200408 Injury prevention and control,200408,
200409 Mental health,200409,
200410 Nutrition,200410,
200411 Overweight and obesity,200411,
200412 Preventive medicine,200412,
200413 Substance abuse,200413,
200499 Public health (excl. specific population health) not elsewhere classified,200499,
2005 Specific population health (excl. Indigenous health),2005,"This group covers R&D directed towards community and public health of specific population groups and discrete community groups (e.g. aged persons, persons living in rural and remote areas), other than indigenous communities. It includes the study of social and cultural factors affecting the health of these groups and the delivery of health services to these groups."
200501 Adolescent health,200501,
200502 Health related to ageing,200502,
200503 Health related to specific ethnic groups,200503,
200504 Men's health,200504,
200505 Migrant health,200505,
200506 Neonatal and child health,200506,
200507 Occupational health,200507,
200508 Rural and remote area health,200508,
200509 Women's and maternal health,200509,
200599 Specific population health (excl. Indigenous health) not elsewhere classified,200599,
2099 Other health,2099,This group covers R&D directed towards health not elsewhere classified.
209999 Other health not elsewhere classified,209999,
21 Indigenous,21,"This division covers R&D directed towards understanding Aboriginal and Torres Strait Islander, Māori, Pacific and other Indigenous peoples, nations, communities, languages, places, cultures or knowledges."
2101 Aboriginal and Torres Strait Islander community services,2101,This group covers R&D directed towards improving the provision and delivery of community and wellbeing services to Aboriginal and Torres Strait Islander populations.
210101 Aboriginal and Torres Strait Islander community service programs,210101,
210102 Aboriginal and Torres Strait Islander development and wellbeing,210102,
210199 Aboriginal and Torres Strait Islander community services not elsewhere classified,210199,
2102 Aboriginal and Torres Strait Islander education,2102,"This group covers R&D directed towards improving understanding, provision and delivery of education relating to Aboriginal and Torres Strait Islander populations."
210201 Aboriginal and Torres Strait Islander education engagement and attendance outcomes,210201,
210202 Aboriginal and Torres Strait Islander education system performance,210202,
210203 Aboriginal and Torres Strait Islander literacy and numeracy outcomes,210203,
210299 Aboriginal and Torres Strait Islander education not elsewhere classified,210299,
2103 Aboriginal and Torres Strait Islander health,2103,This group covers R&D directed towards the public health of Aboriginal and Torres Strait Islanders. It includes the study of social and cultural factors affecting the health of Aboriginal and Torres Strait Islanders and the delivery of health services to these communities.
210301 Aboriginal and Torres Strait Islander determinants of health,210301,
