Label Value,Code,Description
920507 Women's Health,920507,
920599 Specific Population Health (excl. Indigenous Health) not elsewhere classified,920599,
929999 Health not elsewhere classified,929999,
930101 Learner and Learning Achievement,930101,
930102 Learner and Learning Processes,930102,
930103 Learner Development,930103,
930104 Moral and Social Development (incl. Affect),930104,
930199 Learner and Learning not elsewhere classified,930199,
930201 Pedagogy,930201,
930202 Teacher and Instructor Development,930202,
930203 Teaching and Instruction Technologies,930203,
930299 Teaching and Instruction not elsewhere classified,930299,
930301 Assessment and Evaluation of Curriculum,930301,
930302 Syllabus and Curriculum Development,930302,
930399 Curriculum not elsewhere classified,930399,
930401 Management and Leadership of Schools/Institutions,930401,
930402 School/Institution Community and Environment,930402,
930403 School/Institution Policies and Development,930403,
930499 School/Institution not elsewhere classified,930499,
930501 Education and Training Systems Policies and Development,930501,
930502 Management of Education and Training Systems,930502,
930503 Resourcing of Education and Training Systems,930503,
930599 Education and Training Systems not elsewhere classified,930599,
939901 Aboriginal and Torres Strait Islander Education,939901,
939902 Education and Training Theory and Methodology,939902,
939903 Equity and Access to Education,939903,
939904 Gender Aspects of Education,939904,
939905 Māori Education,939905,
939906 Pacific Peoples Education,939906,
939907 Special Needs Education,939907,
939908 Workforce Transition and Employment,939908,
939999 Education and Training not elsewhere classified,939999,
940101 Ability and Disability,940101,
940102 Aboriginal and Torres Strait Islander Development and Welfare,940102,
940103 Ageing and Older People,940103,
940104 Carers' Development and Welfare,940104,
940105 Children's/Youth Services and Childcare,940105,
940106 Citizenship and National Identity,940106,
940107 Comparative Structure and Development of Community Services,940107,
940108 Distribution of Income and Wealth,940108,
940109 Employment Services,940109,
940110 Environmental Services,940110,
"940111 Ethnicity, Multiculturalism and Migrant Development and Welfare",940111,
940112 Families and Family Services,940112,
940113 Gender and Sexualities,940113,
940114 Māori Development and Welfare,940114,
940115 Pacific Peoples Development and Welfare,940115,
940116 Social Class and Inequalities,940116,
"940117 Structure, Delivery and Financing of Community Services",940117,
940199 Community Service (excl. Work) not elsewhere classified,940199,
940201 Civics and Citizenship,940201,
940202 Electoral Systems,940202,
940203 Political Systems,940203,
940204 Public Services Policy Advice and Analysis,940204,
940299 Government and Politics not elsewhere classified,940299,
940301 Defence and Security Policy,940301,
940302 International Aid and Development,940302,
940303 International Organisations,940303,
940304 International Political Economy (excl. International Trade),940304,
940399 International Relations not elsewhere classified,940399,
940401 Civil Justice,940401,
940402 Crime Prevention,940402,
940403 Criminal Justice,940403,
940404 Law Enforcement,940404,
940405 Law Reform,940405,
940406 Legal Processes,940406,
"940407 Legislation, Civil and Criminal Codes",940407,
940408 Rehabilitation and Correctional Services,940408,
940499 Justice and the Law not elsewhere classified,940499,
940501 Employment Patterns and Change,940501,
940502 Professions and Professionalisation,940502,
"940503 Time Use, Unpaid Work and Volunteering",940503,
940504 Work and Family Responsibilities,940504,
940505 Workplace Safety,940505,
940599 Work and Institutional Development not elsewhere classified,940599,
"949999 Law, Politics and Community Services not elsewhere classified",949999,
950101 Music,950101,
950102 Organised Sports,950102,
950103 Recreation,950103,
